gen 0 100 0.26564931869506836 3851943915.2906866 26032426084.646812 30305.683474984697 225448485558.722 30305.683474984697
gen 1 210 0.538379430770874 146140780.3510134 894513754.5141295 18085.989089310755 8753387996.645119 18085.989089310755
gen 2 320 0.8100361824035645 29356969.458640587 106859902.47434689 13062.757678671045 857996710.5875417 12595.825922302865
gen 3 430 1.0922727584838867 119378968.305728 817066886.8336878 84404.20982240839 8095547477.225997 12595.825922302865
gen 4 540 1.3732693195343018 1204795227.1787035 10943564621.112444 16275.126181599679 110024306705.94339 12595.825922302865
gen 5 650 1.6443054676055908 34853783.61939823 109712605.05256526 14076.78020700489 1032756314.2134006 12595.825922302865
gen 6 760 1.9216153621673584 63713818.34813071 262490306.48114088 12603.459884868222 1830052268.638287 12595.825922302865
gen 7 870 2.200458526611328 148911079.12485296 1153274948.4908912 14669.325393957046 11577277830.674517 12595.825922302865
gen 8 980 2.4791340827941895 34025474.66456361 148067827.22369558 11634.779905626598 1062962874.8795584 11634.779905626598
gen 9 1090 2.7751803398132324 49585143.185334146 141358210.28644013 12086.415816245024 951109133.260475 11634.779905626598
gen 10 1200 3.0523719787597656 260725135.9866451 1280828670.2695582 9957.81406990634 9850296413.6004 9957.81406990634
gen 11 1310 3.328021287918091 86954272.04765181 391951414.25342476 14634.758258163794 3472809807.726138 9957.81406990634
gen 12 1420 3.6016390323638916 409643778.73570853 2631399135.29624 20647.31563272571 23826211366.488712 9957.81406990634
